Date,Ticker,Stock Name,Type,Shares,Price,Fee,Cash Flow
2021-02-01,TSLA,Tesla Inc,Buy,10,600,0,-6000
2021-11-01,TSLA,Tesla Inc,Sell,10,1000,0,10000
2022-03-15,AMD,AMD,Buy,20,110,0,-2200
2022-09-20,AMD,AMD,Sell,20,70,0,1400
2023-05-15,NVDA,NVIDIA Corp,Buy,10,250,0,-2500
2023-08-10,AAPL,Apple Inc,Buy,20,175,0,-3500
2023-11-10,AAPL,Apple Inc,Dividend,0,4.8,0,4.8
2023-11-20,TSLA,Tesla Inc,Buy,5,200,0,-1000
2024-01-10,NVDA,NVIDIA Corp,Buy,5,500,0,-2500
2024-02-10,AAPL,Apple Inc,Dividend,0,5.0,0,5.0
2024-03-15,GRAB,Grab Holdings,Buy,100,3.5,0,-350
2024-05-20,AAPL,Apple Inc,Sell,20,190,0,3800
2024-06-20,TSM,Taiwan Semiconductor,Buy,20,150,0,-3000
2024-09-01,NVDA,NVIDIA Corp,Dividend,0,10,0,10
2024-12-05,TSLA,Tesla Inc,Sell,2,250,5,495
2025-01-15,IBIT,iShares Bitcoin Trust,Buy,50,35,0,-1750
